Title,Author,Published Date,Categories,Description,ISBN_13,Maturity Rating
"The Outlander Series Bundle: Books 5, 6, 7, and 8",Diana Gabaldon,2015-10-13,Fiction,"As their story is told on the hit Starz series, the unforgettable adventures of steadfast Highland warrior Jamie Fraser and time-traveling Englishwoman Claire Randall continue in the ongoing Outlander novels. This eBook bundle includes the fifth, sixth, seventh, and eighth books in the series: THE FIERY CROSS A BREATH OF SNOW AND ASHES AN ECHO IN THE BONE WRITTEN IN MY OWN HEART’S BLOOD The year is 1771, and war is coming. Jamie Fraser’s wife tells him so. Little as he wishes to, he must believe it, for hers is a gift of dreadful prophecy—a time-traveler’s certain knowledge. Claire’s unique view of the future has brought him both danger and deliverance in the past. Her knowledge of the oncoming revolution is a flickering torch that may light his way through the perilous years ahead—or ignite a conflagration that will leave their lives in ashes. Praise for Diana Gabaldon’s Outlander novels “Marvelous and fantastic adventures, romance, sex . . . perfect escape reading.”—San Francisco Chronicle, on Outlander “History comes deliciously alive on the page.”—New York Daily News, on Outlander “A grand adventure written on a canvas that probes the heart, weighs the soul and measures the human spirit across [centuries].”—CNN, on The Fiery Cross “The large scope of the novel allows Gabaldon to do what she does best, paint in exquisite detail the lives of her characters.”—Booklist, on A Breath of Snow and Ashes “Features all the passion and swashbuckling that fans of this historical fantasy series have come to expect.”—People, on Written in My Own Heart’s Blood",9781101968482,NOT_MATURE
Seven Stones to Stand or Fall,Diana Gabaldon,2017-06-27,Fiction,"NEW YORK TIMES BESTSELLER • A magnificent collection of Outlander short fiction—including two never-before-published novellas—featuring Jamie Fraser, Lord John Grey, Master Raymond, and many more, from Diana Gabaldon Among the seven spellbinding pieces there is “The Custom of the Army,” which begins with Lord John Grey being shocked by an electric eel and ends at the Battle of Quebec. Then comes “The Space Between,” where it is revealed that the Comte St. Germain is not dead, Master Raymond appears, and a widowed young wine dealer escorts a would-be novice to a convent in Paris. In “A Plague of Zombies,” Lord John unexpectedly becomes military governor of Jamaica when the original governor is gnawed by what probably wasn’t a giant rat. “A Leaf on the Wind of All Hallows” is the moving story of Roger MacKenzie’s parents during World War II. In “Virgins,” Jamie Fraser, aged nineteen, and Ian Murray, aged twenty, become mercenaries in France, no matter that neither has yet bedded a lass or killed a man. But they’re trying. . . . “A Fugitive Green” is the story of Lord John’s elder brother, Hal, and a seventeen-year-old rare book dealer with a sideline in theft, forgery, and blackmail. And finally, in “Besieged,” Lord John learns that his mother is in Havana—and that the British Navy is on their way to lay siege to the city. Filling in mesmerizing chapters in the lives of characters readers have followed over the course of thousands of pages, Gabaldon’s genius is on full display throughout this must-have collection. “Gabaldon is in fine form . . . weaving together characters’ lives, connecting plot points, and showing tantalizing glimpses of the larger Outlander world, of which this reader can never get enough.”—Historical Novels Review",9780399593444,NOT_MATURE
The Exile,Diana Gabaldon,2010-09-21,Comics & Graphic Novels,"Diana Gabaldon’s brilliant storytelling has captivated millions of readers in her bestselling and award-winning Outlander saga. Now, in her first-ever graphic novel, Gabaldon gives readers a fresh look at the events of the original Outlander: Jamie Fraser’s side of the story, gorgeously rendered by artist Hoang Nguyen. After too long an absence, Jamie Fraser is coming home to Scotland—but not without great trepidation. Though his beloved godfather, Murtagh, promised Jamie’s late parents he’d watch over their brash son, making good on that vow will be no easy task. There’s already a fat bounty on the young exile’s head, courtesy of Captain Black Jack Randall, the sadistic British officer who’s crossed paths—and swords—with Jamie in the past. And in the court of the mighty MacKenzie clan, Jamie is a pawn in the power struggle between his uncles: aging chieftain Colum, who demands his nephew’s loyalty—or his life—and Dougal, war chieftain of Clan MacKenzie, who’d sooner see Jamie put to the sword than anointed Colum’s heir. And then there is Claire Randall—mysterious, beautiful, and strong-willed, who appears in Jamie’s life to stir his compassion . . . and arouse his desire. But even as Jamie’s heart draws him to Claire, Murtagh is certain she’s been sent by the Old Ones, and Captain Randall accuses her of being a spy. Claire clearly has something to hide, though Jamie can’t believe she could pose him any danger. Still, he knows she is torn between two choices—a life with him, and whatever it is that draws her thoughts so often elsewhere. Step into the captivating, passionate, and suspenseful world of The Exile, and experience the storytelling magic of Diana Gabaldon as never before.",9780345505385,MATURE
Outlander (20th Anniversary Collector's Edition),Diana Gabaldon,2011-07-05,Fiction,"#1 NEW YORK TIMES BESTSELLER • The first book in Diana Gabaldon’s acclaimed Outlander saga, the basis for the Starz original series. Don’t miss the new Outlander novel, Go Tell the Bees That I Am Gone, available November 23! This special twentieth-anniversary edition features an original essay, a new map, and more. One of the top ten best-loved novels in America, as seen on PBS’s The Great American Read! Unrivaled storytelling. Unforgettable characters. Rich historical detail. These are the hallmarks of Diana Gabaldon’s work. Her New York Times bestselling Outlander novels have earned the praise of critics and captured the hearts of millions of fans. Here is the story that started it all, introducing two remarkable characters, Claire Beauchamp Randall and Jamie Fraser, in a spellbinding novel of passion and history that combines exhilarating adventure with a love story for the ages. Scottish Highlands, 1945. Claire Randall, a former British combat nurse, is just back from the war and reunited with her husband on a second honeymoon when she walks through a standing stone in one of the ancient circles that dot the British Isles. Suddenly she is a Sassenach—an “outlander”—in a Scotland torn by war and raiding clans in the year of Our Lord . . . 1743. Claire is catapulted into the intrigues of a world that threatens her life, and may shatter her heart. Marooned amid danger, passion, and violence, Claire learns her only chance of safety lies in Jamie Fraser, a gallant young Scots warrior. What begins in compulsion becomes urgent need, and Claire finds herself torn between two very different men, in two irreconcilable lives. between fidelity and desire—and between two vastly different men in two irreconcilable lives.",9780440423201,NOT_MATURE
Virgins: An Outlander Novella,Diana Gabaldon,2016-04-11,Fiction,"A young Jamie Fraser learns what it really means to become a man in this Outlander prequel novella. Featuring all the trademark suspense, adventure, and history of Diana Gabaldon's #1 bestselling novels and the Showcase original series, Virgins is now available for the first time as a standalone ebook. Mourning the death of his father and gravely injured at the hands of the English, Jamie Fraser finds himself running with a band of mercenaries in the French countryside, where he reconnects with his old friend Ian Murray. Both are nursing wounds; both have good reason to stay out of Scotland; and both are still virgins, despite several opportunities to remedy that deplorable situation with ladies of easy virtue. But Jamie's love life becomes infinitely more complicated--and dangerous--when fate brings the young men into the service of Dr. Hasdi, a Jewish gentleman who hires them to escort two priceless treasures to Paris. One is an old Torah; the other is the doctor's beautiful grand-daughter, Rebekah, destined for an arranged marriage. Both Jamie and Ian are instantly drawn to the bride-to-be--but they might be more cautious if they had any idea who they're truly dealing with. Praise for Diana Gabaldon’s Outlander series “Marvelous and fantastic adventures, romance, sex . . . perfect escape reading.”—San Francisco Chronicle, on Outlander “History comes deliciously alive on the page.”—New York Daily News, on Outlander “Gabaldon is a born storyteller. . . . The pages practically turn themselves.”—The Arizona Republic, on Dragonfly in Amber “Triumphant . . . Her use of historical detail and a truly adult love story confirm Gabaldon as a superior writer.”—Publishers Weekly, on Voyager “Unforgettable characters . . . richly embroidered with historical detail.”—The Cincinnati Post, on Drums of Autumn “A grand adventure written on a canvas that probes the heart, weighs the soul and measures the human spirit across [centuries].”—CNN, on The Fiery Cross “The large scope of the novel allows Gabaldon to do what she does best, paint in exquisite detail the lives of her characters.”—Booklist, on A Breath of Snow and Ashes “Features all the passion and swashbuckling that fans of this historical fantasy series have come to expect.”—People, on Written in My Own Heart’s Blood",9780385689342,NOT_MATURE
American Gods,Neil Gaiman,2002-04-30,Fiction,"Shadow is a man with a past. But now he wants nothing more than to live a quiet life with his wife and stay out of trouble. Until he learns that she's been killed in a terrible accident. Flying home for the funeral, as a violent storm rocks the plane, a strange man in the seat next to him introduces himself. The man calls himself Mr. Wednesday, and he knows more about Shadow than is possible. He warns Shadow that a far bigger storm is coming. And from that moment on, nothing will ever he the same...",9780380789030,NOT_MATURE
The Complete American Gods (Graphic Novel),Neil Gaiman,2023-11-07,Comics & Graphic Novels,"The complete American Gods comic book series, adapted by comics legend P. Craig Russell from the New York Times bestselling and award–winning novel by writer Neil Gaiman, in an affordable paperback omnibus edition. Shadow Moon, fresh out of jail, finds his wife dead, his life in shambles, and nowhere to turn. But a chance meeting with the mysterious Mr. Wednesday thrusts him into the center of a conflict between new and old gods, where the future of human and divine life is at stake. The Hugo, Bram Stoker, Locus, World Fantasy, and Nebula award–winning novel and hit Starz television series by NEIL GAIMAN is adapted as a graphic novel! Collecting the complete American Gods comic book series, along with art process features, high res scans of original art, layouts, character designs, and bonus art by Becky Cloonan, Skottie Young, Fabio Moon, Dave McKean, and many more! Collects American Gods: Shadows #1–#9, American Gods: My Ainsel #1–#9, and American Gods: The Moment of the Storm #1–#9.",9781506735023,NOT_MATURE
American Gods Volume 1: Shadows (Graphic Novel),"Neil Gaiman, P. Craig Russell",2018-03-13,Comics & Graphic Novels,"This supernatural American road trip fantasy tells the story of a war between the ancient and modern gods. The Hugo, Bram Stoker, Locus, World Fantasy, and Nebula award-winning novel and new Starz television series by Neil Gaiman is adapted as a graphic novel for the first time! The first in a three-volume adaptation of Neil Gaiman's modern classic! Shadow Moon gets out of jail only to discover his wife is dead. Defeated, broke, and uncertain where to go from here, he meets the mysterious Mr. Wednesday, who employs him to serve as his bodyguard--thrusting Shadow into a deadly world where ghosts of the past come back from the dead, and a god war is imminent. Collecting the first nine issues of the American Gods comic book series, along with art process features, high res scans of original art, layouts, character designs, and variant covers by BECKY CLOONAN, SKOTTIE YOUNG, FÁBIO MOON, DAVE MCKEAN, and MORE!",9781506705545,NOT_MATURE
American Gods: The Moment of the Storm #1,"Neil Gaiman, P. Craig Russell",2019-04-17,Comics & Graphic Novels,"The new and old gods agree to meet in the center of America to exchange the body of the old gods' fallen leader—heading toward the invitable god war in this final arc of the bestselling comics series! The Hugo, Bram Stoker, Locus, World Fantasy, and Nebula Award-winning novel by Neil Gaiman is adapted as a graphic novel! Look for American Gods Season 2 coming in March 2019!",,MATURE
American Gods (En Espanol),Neil Gaiman,2005-05-01,Comics & Graphic Novels,"On the plane home to attend the funerals of his wife and best friend, Shadow, an ex-con, encounters an enigmatic stranger who seems to know a lot about him, and when Mr. Wednesday offers him a job as his bodyguard, Shadow accepts and is plunged into a dark and perilous world, where the soul of America is at stake. Winner of the Hugo, Nebula, & Bram Stoker awards.",9781594970993,NOT_MATURE
American Gods,Neil Gaiman,2005,,"The extraordinary, highly acclaimed epic novel from storytelling genius Neil Gaiman. After three years in prison, Shadow has done his time. But as the time until his release ticks away, he can feel a storm brewing. Two days before he gets out, his wife Laura dies in a mysterious car crash, in adulterous circumstances. Dazed, Shadow travels home, only to encounter the bizarre Mr Wednesday claiming to be a refugee from a distant war, a former god and the king of America. Together they embark on a very strange journey across the States, along the way solving the murders which have occurred every winter in one small American town. But the storm is about to break... Disturbing, gripping and profoundly strange, Gaiman's epic novel sees him on the road to the heart of America. Includes extra material exclusive to this Headline Review edition.",9780755379910,NOT_MATURE
American Gods,Neil Gaiman,2017-03-28,Fiction,"Now a STARZ® Original Series produced by FremantleMedia North America starring Ricky Whittle, Ian McShane, Emily Browning, and Pablo Schreiber. Locked behind bars for three years, Shadow did his time, quietly waiting for the day when he could return to Eagle Point, Indiana. A man no longer scared of what tomorrow might bring, all he wanted was to be with Laura, the wife he deeply loved, and start a new life. But just days before his release, Laura and Shadow’s best friend are killed in an accident. With his life in pieces and nothing to keep him tethered, Shadow accepts a job from a beguiling stranger he meets on the way home, an enigmatic man who calls himself Mr. Wednesday. A trickster and a rogue, Wednesday seems to know more about Shadow than Shadow does himself. Life as Wednesday’s bodyguard, driver, and errand boy is far more interesting and dangerous than Shadow ever imagined. Soon Shadow learns that the past never dies . . . and that beneath the placid surface of everyday life a storm is brewing—an epic war for the very soul of America—and that he is standing squarely in its path. “Mystery, satire, sex, horror, poetic prose—American Gods uses all these to keep the reader turning the pages.”—Washington Post",9780062572233,NOT_MATURE
American Gods: The Tenth Anniversary Edition,Neil Gaiman,2013-02-05,Fiction,"“Mystery, satire, sex, horror, poetic prose….If you have enjoyed John Crowley’s Little, Big or Stephen King’s The Stand or the urbane horror fiction of Jonathan Carroll…then American Gods arrives just in time.” —Washington Post “Dark fun, and nourishing to the soul.” —Michael Chabon, author of The Amazing Adventures of Kavalier and Clay It has been a decade since #1 New York Times bestselling author Neil Gaiman (Sandman, Anansi Boys, The Graveyard Book) rocked the literary world with American Gods—his breathtaking tale of the war on Earth between old gods and new. For those who have yet to experience Gaiman’s bestselling tour de force—a novel USA Today called “a powerful, searing force that makes readers confront what is real and what is not”—and for those eager to enter this astonishing world again, comes the Author’s Preferred Text 10th Anniversary Edition. Winner of the Hugo, Nebula, Locus, and Bram Stoker Awards, with a special introduction by the author, this is American Gods as Neil Gaiman always meant it to be.",9780062080233,NOT_MATURE
American Gods: The Moment of the Storm #3,"Neil Gaiman, P. Craig Russell",2019-06-19,Comics & Graphic Novels,"While caged to a giant tree, Shadow is visited by multiple bizarre creatures and comes to a revelation about his journey through the god war! The Hugo, Bram Stoker, Locus, World Fantasy, and Nebula AwardÐwinning novel and hit Starz television series by Neil Gaiman is adapted as a graphic novel! Season 2 of American Gods now on STARZ!",,MATURE
American Gods [TV Tie-in],Neil Gaiman,2017-03-28,Fiction,"Now a TV Series produced by FremantleMedia North America available internationally on Amazon, exclusively through Prime Video and starring Ricky Whittle, Ian McShane, Emily Browning, and Pablo Schreiber. Locked behind bars for three years, Shadow did his time, quietly waiting for the day when he could return to Eagle Point, Indiana. A man no longer scared of what tomorrow might bring, all he wanted was to be with Laura, the wife he deeply loved, and start a new life. But just days before his release, Laura and Shadow’s best friend are killed in an accident. With his life in pieces and nothing to keep him tethered, Shadow accepts a job from a beguiling stranger he meets on the way home, an enigmatic man who calls himself Mr. Wednesday. A trickster and a rogue, Wednesday seems to know more about Shadow than Shadow does himself. Life as Wednesday’s bodyguard, driver, and errand boy is far more interesting and dangerous than Shadow ever imagined. Soon Shadow learns that the past never dies . . . and that beneath the placid surface of everyday life a storm is brewing—an epic war for the very soul of America—and that he is standing squarely in its path. “Mystery, satire, sex, horror, poetic prose—American Gods uses all these to keep the reader turning the pages.”—Washington Post",9780062689740,NOT_MATURE
American Gods: Shadows #1,"Neil Gaiman, P. Craig Russell",2017-03-15,Comics & Graphic Novels,"WAR IS COMING! Shadow Moon just got out of jail, only to discover his wife is dead. Defeated, broke, and uncertain as to where to go from here, he meets the mysterious Mr. Wednesday, who employs him to serve as his bodyguard‚ thrusting Shadow into a deadly world of the supernatural, where ghosts of the past come back from the dead, and a brewing war between old and new gods hits a boiling point. The Hugo, Bram Stoker, Locus, World Fantasy, and Nebula award-winning novel and upcoming Starz television series by Neil Gaiman is adapted as a comic series for the first time! NEIL GAIMAN! P. CRAIG RUSSELL! SCOTT HAMPTON!",,MATURE
American Gods,Neil Gaiman,2001-06-19,Fiction,"The storm was coming.... Shadow spent three years in prison, keeping his head down, doing his time. All he wanted was to get back to the loving arms of his wife and to stay out of trouble for the rest of his life. But days before his scheduled release, he learns that his wife has been killed in an accident, and his world becomes a colder place. On the plane ride home to the funeral, Shadow meets a grizzled man who calls himself Mr. Wednesday. A self-styled grifter and rogue, Wednesday offers Shadow a job. And Shadow, a man with nothing to lose, accepts. But working for the enigmatic Wednesday is not without its price, and Shadow soon learns that his role in Wednesday's schemes will be far more dangerous than he ever could have imagined. Entangled in a world of secrets, he embarks on a wild road trip and encounters, among others, the murderous Czernobog, the impish Mr. Nancy, and the beautiful Easter -- all of whom seem to know more about Shadow than he himself does. Shadow will learn that the past does not die, that everyone, including his late wife, had secrets, and that the stakes are higher than anyone could have imagined. All around them a storm of epic proportions threatens to break. Soon Shadow and Wednesday will be swept up into a conflict as old as humanity itself. For beneath the placid surface of everyday life a war is being fought -- and the prize is the very soul of America. As unsettling as it is exhilarating, American Gods is a dark and kaleidoscopic journey deep into myth and across an America at once eerily familiar and utterly alien. Magnificently told, this work of literary magic will haunt the reader far beyond the final page.",9780380973651,NOT_MATURE
American Gods: Shadows #3,"Neil Gaiman, P. Craig Russell",2017-05-17,Comics & Graphic Novels,"Neil Gaiman's essential story now in comics! After a bizarre encounter with his dead wife, Shadow Moon is eager to flee Eagle Point and put the past behind him. In Chicago, he is introduced to an eccentric family who seem to be a key part of Mr. Wednesday's mysterious plans. The Hugo, Bram Stoker, Locus, World Fantasy, and Nebula Award-winning novel and upcoming Starz television series by Neil Gaiman adapted as a comic series for the first time! A Starz TV show! ""An atmospheric, beautifully illustrated take on Gaiman's story."" — AV Club",,MATURE
American Gods: Shadows #2,"Neil Gaiman, P. Craig Russell",2017-04-12,Comics & Graphic Novels,"Neil Gaiman's acclaimed story now in comics! Fresh out of jail, Shadow Moon finds himself recruited as a bodyguard for the enigmatic Mr. Wednesday, only to be interrupted and kidnapped by the dangerous Technical Boy, who wants answers as to Wednesday's plans. The Hugo, Bram Stoker, Locus, World Fantasy, and Nebula award-winning novel and upcoming Starz television series by Neil Gaiman is adapted as a comic series for the first time! A Starz TV show by Bryan Fuller (NBC's Hannibal) based on the novel will debut this spring. The American Gods comic is going to be an astonishing, faithful, and beautiful adaptation — Neil Gaiman",,MATURE
American Gods (En Espanol),Neil Gaiman,2005-05-01,Comics & Graphic Novels,"On the plane home to attend the funerals of his wife and best friend, Shadow, an ex-con, encounters an enigmatic stranger who seems to know a lot about him, and when Mr. Wednesday offers him a job as his bodyguard, Shadow accepts and is plunged into a dark and perilous world, where the soul of America is at stake. Winner of the Hugo, Nebula, & Bram Stoker awards.",9781594970993,NOT_MATURE
American Gods: Shadows #9,"Neil Gaiman, P. Craig Russell",2017-11-15,Comics & Graphic Novels,"Still in the employ of Ibis and Jacquel, Shadow sees his share of dead bodies . . . but doesn't ever expect them to be gods. When Mad Sweeney turns up and blames him for maliciously giving away his lucky coin, Shadow can only plead innocence--and the leprechaun then claims he is certainly doomed. A Starz TV show from NEIL GAIMAN!",,MATURE
On the Beach,Nevil Shute,2010-02-09,Fiction,"""The most shocking fiction I have read in years. What is shocking about it is both the idea and the sheer imaginative brilliance with which Mr. Shute brings it off."" THE SAN FRANCISCO CHRONICLE They are the last generation, the innocent victims of an accidental war, living out their last days, making do with what they have, hoping for a miracle. As the deadly rain moves ever closer, the world as we know it winds toward an inevitable end....",9780307476982,NOT_MATURE
American Gods: Shadows #8,"Neil Gaiman, P. Craig Russell",2017-10-11,Comics & Graphic Novels,"'An atmospheric, beautifully illustrated take on Gaiman's story.'' --AV CLUB Shadow meets with the proprietors of Ibis and Jacquel Funeral Parlor. Mr. Ibis offers Shadow work as long as he is not squeamish. Shadow reluctantly agrees, and Mr. Jacquel assures him that in their line of work, the dead stay dead . . . but is this morbid guarantee enough to tempt Shadow's guilty conscious over the edge? A Starz TV show!",,MATURE
American Gods: The Tenth Anniversary Edition,Neil Gaiman,2013-02-05,Fiction,"“Mystery, satire, sex, horror, poetic prose….If you have enjoyed John Crowley’s Little, Big or Stephen King’s The Stand or the urbane horror fiction of Jonathan Carroll…then American Gods arrives just in time.” —Washington Post “Dark fun, and nourishing to the soul.” —Michael Chabon, author of The Amazing Adventures of Kavalier and Clay It has been a decade since #1 New York Times bestselling author Neil Gaiman (Sandman, Anansi Boys, The Graveyard Book) rocked the literary world with American Gods—his breathtaking tale of the war on Earth between old gods and new. For those who have yet to experience Gaiman’s bestselling tour de force—a novel USA Today called “a powerful, searing force that makes readers confront what is real and what is not”—and for those eager to enter this astonishing world again, comes the Author’s Preferred Text 10th Anniversary Edition. Winner of the Hugo, Nebula, Locus, and Bram Stoker Awards, with a special introduction by the author, this is American Gods as Neil Gaiman always meant it to be.",9780062080233,NOT_MATURE
American gods,,2017,,,,NOT_MATURE
American Gods: My Ainsel #8,"Neil Gaiman, P. Craig Russell",2018-11-14,Comics & Graphic Novels,"Neil Gaiman! P. Craig Russell! As Wednesday continues to gather the old Gods, Shadow's past comes back in both good and bad ways, threatening to throw his new town comforts into disarray. The Hugo, Bram Stoker, Locus, World Fantasy, and Nebula award-winning novel and hit Starz television series by Neil Gaiman is adapted as a comic series!",,MATURE
"American Gods, My Ainsel, Bk 2 /",Neil Gaiman,,,,,NOT_MATURE
American Gods: My Ainsel #7,"Neil Gaiman, P. Craig Russell",2018-10-17,Comics & Graphic Novels,"Neil Gaiman! P. Craig Russell! As Shadow follows Wednesday around the country, he eventually finds himself face to face with Laura, who lays down some difficult truths about the time she was alive and with him. The Hugo, Bram Stoker, Locus, World Fantasy, and Nebula Award-winning novel and hit Starz television series by Neil Gaiman is adapted as a comic series!",,MATURE
American Gods: My Ainsel #6,"Neil Gaiman, P. Craig Russell",2018-09-12,Comics & Graphic Novels,"Neil Gaiman! P. Craig Russell! Shadow and Wednesday find themselves on the run from both the police and the mysterious Mr. Town. Along the way, they find help in their evasion from Whiskey Jack and John Chapman, all while Shadow continues to try to sort through the chaos in his life. The Hugo, Bram Stoker, Locus, World Fantasy, and Nebula Award-winning novel and hit Starz television series by Neil Gaiman is adapted as a comic series!",,MATURE
American Gods: My Ainsel #9,"Neil Gaiman, P. Craig Russell",2018-12-19,Comics & Graphic Novels,"Neil Gaiman! P. Craig Russell! Shadow finds himself in hot water as the new gods make a dangerous powerplay before his eyes. The Hugo, Bram Stoker, Locus, World Fantasy, and Nebula award-winning novel and hit Starz television series by Neil Gaiman is adapted as a comic series!",,MATURE
American Gods: Shadows #2,"Neil Gaiman, P. Craig Russell",2017-04-12,Comics & Graphic Novels,"Neil Gaiman's acclaimed story now in comics! Fresh out of jail, Shadow Moon finds himself recruited as a bodyguard for the enigmatic Mr. Wednesday, only to be interrupted and kidnapped by the dangerous Technical Boy, who wants answers as to Wednesday's plans. The Hugo, Bram Stoker, Locus, World Fantasy, and Nebula award-winning novel and upcoming Starz television series by Neil Gaiman is adapted as a comic series for the first time! A Starz TV show by Bryan Fuller (NBC's Hannibal) based on the novel will debut this spring. The American Gods comic is going to be an astonishing, faithful, and beautiful adaptation — Neil Gaiman",,MATURE
American Gods (En Espanol),Neil Gaiman,2005-05-01,Comics & Graphic Novels,"On the plane home to attend the funerals of his wife and best friend, Shadow, an ex-con, encounters an enigmatic stranger who seems to know a lot about him, and when Mr. Wednesday offers him a job as his bodyguard, Shadow accepts and is plunged into a dark and perilous world, where the soul of America is at stake. Winner of the Hugo, Nebula, & Bram Stoker awards.",9781594970993,NOT_MATURE
American Gods,Neil Gaiman,2003-01-02,Américains,"Cuenta la historia de un ex convicto a quien se le ofrece un trabajo como guardaespaldas para Mr. Wednesday, un tramposo y un pícaro. Shadow pronto descubre que su papel en los planes del hombre es mucho más peligroso y oscuro de lo que podría haber imaginado.",9788484316275,NOT_MATURE
American Gods: Shadows #3,"Neil Gaiman, P. Craig Russell",2017-05-17,Comics & Graphic Novels,"Neil Gaiman's essential story now in comics! After a bizarre encounter with his dead wife, Shadow Moon is eager to flee Eagle Point and put the past behind him. In Chicago, he is introduced to an eccentric family who seem to be a key part of Mr. Wednesday's mysterious plans. The Hugo, Bram Stoker, Locus, World Fantasy, and Nebula Award-winning novel and upcoming Starz television series by Neil Gaiman adapted as a comic series for the first time! A Starz TV show! ""An atmospheric, beautifully illustrated take on Gaiman's story."" — AV Club",,MATURE
American Gods: Shadows #1,"Neil Gaiman, P. Craig Russell",2017-03-15,Comics & Graphic Novels,"WAR IS COMING! Shadow Moon just got out of jail, only to discover his wife is dead. Defeated, broke, and uncertain as to where to go from here, he meets the mysterious Mr. Wednesday, who employs him to serve as his bodyguard‚ thrusting Shadow into a deadly world of the supernatural, where ghosts of the past come back from the dead, and a brewing war between old and new gods hits a boiling point. The Hugo, Bram Stoker, Locus, World Fantasy, and Nebula award-winning novel and upcoming Starz television series by Neil Gaiman is adapted as a comic series for the first time! NEIL GAIMAN! P. CRAIG RUSSELL! SCOTT HAMPTON!",,MATURE
Anansi Boys,Neil Gaiman,2005-09-20,Fiction,"One of fiction's most audaciously original talents, Neil Gaiman now gives us a mythology for a modern age -- complete with dark prophecy, family dysfunction, mystical deceptions, and killer birds. Not to mention a lime. Anansi Boys God is dead. Meet the kids. When Fat Charlie's dad named something, it stuck. Like calling Fat Charlie ""Fat Charlie."" Even now, twenty years later, Charlie Nancy can't shake that name, one of the many embarrassing ""gifts"" his father bestowed -- before he dropped dead on a karaoke stage and ruined Fat Charlie's life. Mr. Nancy left Fat Charlie things. Things like the tall, good-looking stranger who appears on Charlie's doorstep, who appears to be the brother he never knew. A brother as different from Charlie as night is from day, a brother who's going to show Charlie how to lighten up and have a little fun ... just like Dear Old Dad. And all of a sudden, life starts getting very interesting for Fat Charlie. Because, you see, Charlie's dad wasn't just any dad. He was Anansi, a trickster god, the spider-god. Anansi is the spirit of rebellion, able to overturn the social order, create wealth out of thin air, and baffle the devil. Some said he could cheat even Death himself. Returning to the territory he so brilliantly explored in his masterful New York Times bestseller, American Gods, the incomparable Neil Gaiman offers up a work of dazzling ingenuity, a kaleidoscopic journey deep into myth that is at once startling, terrifying, exhilarating, and fiercely funny -- a true wonder of a novel that confirms Stephen King's glowing assessment of the author as ""a treasure-house of story, and we are lucky to have him.""",9780060515188,NOT_MATURE
Anansi Boys Volume 1,"Neil Gaiman, Marc Bernardin",2025-06-24,Comics & Graphic Novels,"#1 New York Times bestselling author Neil Gaiman joins forces with Eisner nominated writer Marc Bernardin (Adora and the Distance, Star Wars: Mace Windu, Census) and Thief of Thieves co-creator Shawn Martinbrough (Luke Cage, Hellboy) to adapt Gaiman’s Locus and British Fantasy award-winning novel as a comic book series for the first time—and soon to be a television show on Amazon Prime! “Fat” Charlie Nancy leads a boring life as a boring Londoner, until he discovers two things: That his recently deceased father was, in fact, Anansi the Spider, the trickster god of African folklore, and that he has a twin brother he’s never met. Which kicks off a reality-spanning odyssey of sibling rivalry, jealous deities, and one poor soul who’ll realize what it means to be a god. Collects Anansi Boys #1–#8.",9781506741161,NOT_MATURE
Anansi Boys,Neil Gaiman,2023-11-09,Fiction,"A special hardback edition of Neil Gaiman's internationally bestselling novel with stunning new contemporary artwork by Monet Alyssa. **Highly anticipated television adaptation of Anansi Boys coming soon to Amazon Prime Video** 'Neil could never have known that he was writing for a confused Jamaican kid who, without even knowing it, was still staggering from centuries of erasure of his own gods and monsters' MARLON JAMES --- Fat Charlie Nancy never knew his dead dad was a god - Anansi the trickster. He never knew he had a brother either. Now brother Spider is on his doorstep, about to make life more interesting . . . and a lot more dangerous. It's a meeting that will take Fat Charlie from his London home to Florida, the Caribbean, and the very beginning of the world itself. Or the end of the world, depending on which way you're looking. **Includes black and white chapter artwork, foiled and designed boards and beautiful full-colour illustrated endpapers by Monet Alyssa** --- 'It's virtually impossible to read more than ten words by Neil Gaiman and not wish he would tell you the rest of the story' OBSERVER 'A warm, funny, immensely entertaining story about the impossibility of putting up with your relations - especially if they happen to be Gods' SUSANNA CLARKE",9781035405299,NOT_MATURE
American Gods + Anansi Boys,Neil Gaiman,2016-10-25,Fiction,"The bestselling author of Neverwhere returns with his biggest, most commercial novel yet—a tour de force of contemporary fiction A master of inventive fiction, Neil Gaiman delves into the murky depths where reality and imagination meet. Now in American Gods, he works his literary magic to extraordinary results. Shadow dreamed of nothing but leaving prison and starting a new life. But the day before his release, his wife and best friend are killed in an accident. On the plane home to the funeral, he meets Mr. Wednesday—a beguiling stranger who seems to know everything about him. A trickster and rogue, Mr. Wednesday offers Shadow a job as his bodyguard. With nowhere left to go, Shadow accepts, and soon learns that his role in Mr. Wednesday’s schemes will be far more dangerous and dark than he could have ever imagined. For beneath the placid surface of everyday life a war is being fought —and the prize is the very soul of America.",9780062428936,NOT_MATURE
